id,weight_t
CT-0001,22
CT-0002,23
CT-0003,24
CT-0004,25
CT-0005,26
CT-0006,27
CT-0007,28
CT-0008,29
CT-0009,30
CT-0010,22
CT-0011,23
CT-0012,24
CT-0013,25
CT-0014,26
CT-0015,27
CT-0016,28
CT-0017,29
CT-0018,30
CT-0019,22
CT-0020,23
CT-0021,24
CT-0022,25
CT-0023,26
CT-0024,27
CT-0025,28
CT-0026,29
CT-0027,30
CT-0028,22
CT-0029,23
CT-0030,24
CT-0031,25
CT-0032,26
CT-0033,27
CT-0034,28
CT-0035,29
CT-0036,30
CT-0037,22
CT-0038,23
CT-0039,24
CT-0040,25
CT-0041,26
CT-0042,27
CT-0043,28
CT-0044,29
CT-0045,30
CT-0046,22
CT-0047,23
CT-0048,24
CT-0049,25
CT-0050,26
CT-0051,27
CT-0052,28
CT-0053,29
CT-0054,30
CT-0055,22
CT-0056,23
CT-0057,24
CT-0058,25
CT-0059,26
CT-0060,27
CT-0061,28
CT-0062,29
CT-0063,30
CT-0064,22
CT-0065,23
CT-0066,24
CT-0067,25
CT-0068,26
CT-0069,27
CT-0070,28
CT-0071,29
CT-0072,30
CT-0073,22
CT-0074,23
CT-0075,24
CT-0076,25
CT-0077,26
CT-0078,27
CT-0079,28
CT-0080,29
CT-0081,30
CT-0082,22
CT-0083,23
CT-0084,24
CT-0085,25
CT-0086,26
CT-0087,27
CT-0088,28
CT-0089,29
CT-0090,30
CT-0091,22
CT-0092,23
CT-0093,24
CT-0094,25
CT-0095,26
CT-0096,27
CT-0097,28
CT-0098,29
CT-0099,30
CT-0100,22
CT-0101,23
CT-0102,24
CT-0103,25
CT-0104,26
CT-0105,27
CT-0106,28
CT-0107,29
CT-0108,30
CT-0109,22
CT-0110,23
CT-0111,24
CT-0112,25
CT-0113,26
CT-0114,27
CT-0115,28
CT-0116,29
CT-0117,30
CT-0118,22
CT-0119,23
CT-0120,24
CT-0121,25
CT-0122,26
CT-0123,27
CT-0124,28
CT-0125,29
CT-0126,30
CT-0127,22
CT-0128,23
CT-0129,24
CT-0130,25
CT-0131,26
CT-0132,27
CT-0133,28
CT-0134,29
CT-0135,30
CT-0136,22
CT-0137,23
CT-0138,24
CT-0139,25
CT-0140,26
CT-0141,27
CT-0142,28
CT-0143,29
CT-0144,30
