job_id,predecessor_id,reason,kind,origin,basis_revision
MV-001,MV-013,Clear access to CT-0121 by relocating CT-0122,access,seeded scenario,0
MV-002,MV-013,Deliver CT-0122 to D4 before pickup,sequence,seeded scenario,0
MV-015,MV-014,Deliver CT-0133 to D1 before pickup,sequence,seeded scenario,0
MV-017,MV-016,Deliver CT-0134 to D2 before pickup,sequence,seeded scenario,0
MV-019,MV-018,Deliver CT-0135 to D3 before pickup,sequence,seeded scenario,0
MV-021,MV-020,Deliver CT-0136 to D4 before pickup,sequence,seeded scenario,0
MV-023,MV-022,Deliver CT-0137 to E1 before pickup,sequence,seeded scenario,0
MV-025,MV-024,Deliver CT-0138 to E2 before pickup,sequence,seeded scenario,0
MV-027,MV-026,Deliver CT-0139 to E3 before pickup,sequence,seeded scenario,0
MV-029,MV-028,Deliver CT-0140 to E4 before pickup,sequence,seeded scenario,0
MV-031,MV-030,Deliver CT-0141 to F1 before pickup,sequence,seeded scenario,0
MV-033,MV-032,Deliver CT-0142 to F2 before pickup,sequence,seeded scenario,0
MV-035,MV-034,Deliver CT-0143 to F3 before pickup,sequence,seeded scenario,0
MV-037,MV-036,Deliver CT-0144 to F4 before pickup,sequence,seeded scenario,0
