container_id,location_id,tier,observed_at,source
CT-0001,A1,0,2026-09-20T08:00:00Z,inventory
CT-0002,A2,0,2026-09-20T08:00:00Z,inventory
CT-0003,A3,0,2026-09-20T08:00:00Z,inventory
CT-0004,A4,0,2026-09-20T08:00:00Z,inventory
CT-0005,B1,0,2026-09-20T08:00:00Z,inventory
CT-0006,B2,0,2026-09-20T08:00:00Z,inventory
CT-0007,B3,0,2026-09-20T08:00:00Z,inventory
CT-0008,B4,0,2026-09-20T08:00:00Z,inventory
CT-0009,C1,0,2026-09-20T08:00:00Z,inventory
CT-0010,C2,0,2026-09-20T08:00:00Z,inventory
CT-0011,C3,0,2026-09-20T08:00:00Z,inventory
CT-0012,C4,0,2026-09-20T08:00:00Z,inventory
CT-0013,D1,0,2026-09-20T08:00:00Z,inventory
CT-0014,D2,0,2026-09-20T08:00:00Z,inventory
CT-0015,D3,0,2026-09-20T08:00:00Z,inventory
CT-0016,D4,0,2026-09-20T08:00:00Z,inventory
CT-0017,E1,0,2026-09-20T08:00:00Z,inventory
CT-0018,E2,0,2026-09-20T08:00:00Z,inventory
CT-0019,E3,0,2026-09-20T08:00:00Z,inventory
CT-0020,E4,0,2026-09-20T08:00:00Z,inventory
CT-0021,F1,0,2026-09-20T08:00:00Z,inventory
CT-0022,F2,0,2026-09-20T08:00:00Z,inventory
CT-0023,F3,0,2026-09-20T08:00:00Z,inventory
CT-0024,F4,0,2026-09-20T08:00:00Z,inventory
CT-0025,A1,1,2026-09-20T08:00:00Z,inventory
CT-0026,A2,1,2026-09-20T08:00:00Z,inventory
CT-0027,A3,1,2026-09-20T08:00:00Z,inventory
CT-0028,A4,1,2026-09-20T08:00:00Z,inventory
CT-0029,B1,1,2026-09-20T08:00:00Z,inventory
CT-0030,B2,1,2026-09-20T08:00:00Z,inventory
CT-0031,B3,1,2026-09-20T08:00:00Z,inventory
CT-0032,B4,1,2026-09-20T08:00:00Z,inventory
CT-0033,C1,1,2026-09-20T08:00:00Z,inventory
CT-0034,C2,1,2026-09-20T08:00:00Z,inventory
CT-0035,C3,1,2026-09-20T08:00:00Z,inventory
CT-0036,C4,1,2026-09-20T08:00:00Z,inventory
CT-0037,D1,1,2026-09-20T08:00:00Z,inventory
CT-0038,D2,1,2026-09-20T08:00:00Z,inventory
CT-0039,D3,1,2026-09-20T08:00:00Z,inventory
CT-0040,D4,1,2026-09-20T08:00:00Z,inventory
CT-0041,E1,1,2026-09-20T08:00:00Z,inventory
CT-0042,E2,1,2026-09-20T08:00:00Z,inventory
CT-0043,E3,1,2026-09-20T08:00:00Z,inventory
CT-0044,E4,1,2026-09-20T08:00:00Z,inventory
CT-0045,F1,1,2026-09-20T08:00:00Z,inventory
CT-0046,F2,1,2026-09-20T08:00:00Z,inventory
CT-0047,F3,1,2026-09-20T08:00:00Z,inventory
CT-0048,F4,1,2026-09-20T08:00:00Z,inventory
CT-0049,A1,2,2026-09-20T08:00:00Z,inventory
CT-0050,A2,2,2026-09-20T08:00:00Z,inventory
CT-0051,A3,2,2026-09-20T08:00:00Z,inventory
CT-0052,A4,2,2026-09-20T08:00:00Z,inventory
CT-0053,B1,2,2026-09-20T08:00:00Z,inventory
CT-0054,B2,2,2026-09-20T08:00:00Z,inventory
CT-0055,B3,2,2026-09-20T08:00:00Z,inventory
CT-0056,B4,2,2026-09-20T08:00:00Z,inventory
CT-0057,C1,2,2026-09-20T08:00:00Z,inventory
CT-0058,C2,2,2026-09-20T08:00:00Z,inventory
CT-0059,C3,2,2026-09-20T08:00:00Z,inventory
CT-0060,C4,2,2026-09-20T08:00:00Z,inventory
CT-0061,D1,2,2026-09-20T08:00:00Z,inventory
CT-0062,D2,2,2026-09-20T08:00:00Z,inventory
CT-0063,D3,2,2026-09-20T08:00:00Z,inventory
CT-0064,D4,2,2026-09-20T08:00:00Z,inventory
CT-0065,E1,2,2026-09-20T08:00:00Z,inventory
CT-0066,E2,2,2026-09-20T08:00:00Z,inventory
CT-0067,E3,2,2026-09-20T08:00:00Z,inventory
CT-0068,E4,2,2026-09-20T08:00:00Z,inventory
CT-0069,F1,2,2026-09-20T08:00:00Z,inventory
CT-0070,F2,2,2026-09-20T08:00:00Z,inventory
CT-0071,F3,2,2026-09-20T08:00:00Z,inventory
CT-0072,F4,2,2026-09-20T08:00:00Z,inventory
CT-0073,A1,3,2026-09-20T08:00:00Z,inventory
CT-0074,A2,3,2026-09-20T08:00:00Z,inventory
CT-0075,A3,3,2026-09-20T08:00:00Z,inventory
CT-0076,A4,3,2026-09-20T08:00:00Z,inventory
CT-0077,B1,3,2026-09-20T08:00:00Z,inventory
CT-0078,B2,3,2026-09-20T08:00:00Z,inventory
CT-0079,B3,3,2026-09-20T08:00:00Z,inventory
CT-0080,B4,3,2026-09-20T08:00:00Z,inventory
CT-0081,C1,3,2026-09-20T08:00:00Z,inventory
CT-0082,C2,3,2026-09-20T08:00:00Z,inventory
CT-0083,C3,3,2026-09-20T08:00:00Z,inventory
CT-0084,C4,3,2026-09-20T08:00:00Z,inventory
CT-0085,D1,3,2026-09-20T08:00:00Z,inventory
CT-0086,D2,3,2026-09-20T08:00:00Z,inventory
CT-0087,D3,3,2026-09-20T08:00:00Z,inventory
CT-0088,D4,3,2026-09-20T08:00:00Z,inventory
CT-0089,E1,3,2026-09-20T08:00:00Z,inventory
CT-0090,E2,3,2026-09-20T08:00:00Z,inventory
CT-0091,E3,3,2026-09-20T08:00:00Z,inventory
CT-0092,E4,3,2026-09-20T08:00:00Z,inventory
CT-0093,F1,3,2026-09-20T08:00:00Z,inventory
CT-0094,F2,3,2026-09-20T08:00:00Z,inventory
CT-0095,F3,3,2026-09-20T08:00:00Z,inventory
CT-0096,F4,3,2026-09-20T08:00:00Z,inventory
CT-0097,A1,4,2026-09-20T08:00:00Z,inventory
CT-0098,A2,4,2026-09-20T08:00:00Z,inventory
