id,container_id,commitment_id,flow,released,hold_reason
VIS-0001,CT-0001,,storage,true,
VIS-0002,CT-0002,,storage,true,
VIS-0003,CT-0003,,storage,true,
VIS-0004,CT-0004,,storage,true,
VIS-0005,CT-0005,,storage,true,
VIS-0006,CT-0006,,storage,true,
VIS-0007,CT-0007,,storage,true,
VIS-0008,CT-0008,,storage,true,
VIS-0009,CT-0009,,storage,true,
VIS-0010,CT-0010,,storage,true,
VIS-0011,CT-0011,,storage,true,
VIS-0012,CT-0012,,storage,true,
VIS-0013,CT-0013,,storage,true,
VIS-0014,CT-0014,,storage,true,
VIS-0015,CT-0015,,storage,true,
VIS-0016,CT-0016,,storage,true,
VIS-0017,CT-0017,,storage,true,
VIS-0018,CT-0018,,storage,true,
VIS-0019,CT-0019,,storage,true,
VIS-0020,CT-0020,,storage,true,
VIS-0021,CT-0021,,storage,true,
VIS-0022,CT-0022,,storage,true,
VIS-0023,CT-0023,,storage,true,
VIS-0024,CT-0024,,storage,true,
VIS-0025,CT-0025,,storage,true,
VIS-0026,CT-0026,,storage,true,
VIS-0027,CT-0027,,storage,true,
VIS-0028,CT-0028,,storage,true,
VIS-0029,CT-0029,,storage,true,
VIS-0030,CT-0030,,storage,true,
VIS-0031,CT-0031,,storage,true,
VIS-0032,CT-0032,,storage,true,
VIS-0033,CT-0033,,storage,true,
VIS-0034,CT-0034,,storage,true,
VIS-0035,CT-0035,,storage,true,
VIS-0036,CT-0036,,storage,true,
VIS-0037,CT-0037,,storage,true,
VIS-0038,CT-0038,,storage,true,
VIS-0039,CT-0039,,storage,true,
VIS-0040,CT-0040,,storage,true,
VIS-0041,CT-0041,,storage,true,
VIS-0042,CT-0042,,storage,true,
VIS-0043,CT-0043,,storage,true,
VIS-0044,CT-0044,,storage,true,
VIS-0045,CT-0045,,storage,true,
VIS-0046,CT-0046,,storage,true,
VIS-0047,CT-0047,,storage,true,
VIS-0048,CT-0048,,storage,true,
VIS-0049,CT-0049,,storage,true,
VIS-0050,CT-0050,,storage,true,
VIS-0051,CT-0051,,storage,true,
VIS-0052,CT-0052,,storage,true,
VIS-0053,CT-0053,,storage,true,
VIS-0054,CT-0054,,storage,true,
VIS-0055,CT-0055,,storage,true,
VIS-0056,CT-0056,,storage,true,
VIS-0057,CT-0057,,storage,true,
VIS-0058,CT-0058,,storage,true,
VIS-0059,CT-0059,,storage,true,
VIS-0060,CT-0060,,storage,true,
VIS-0061,CT-0061,,storage,true,
VIS-0062,CT-0062,,storage,true,
VIS-0063,CT-0063,,storage,true,
VIS-0064,CT-0064,,storage,true,
VIS-0065,CT-0065,,storage,true,
VIS-0066,CT-0066,,storage,true,
VIS-0067,CT-0067,,storage,true,
VIS-0068,CT-0068,,storage,true,
VIS-0069,CT-0069,,storage,true,
VIS-0070,CT-0070,,storage,true,
VIS-0071,CT-0071,,storage,true,
VIS-0072,CT-0072,,storage,true,
VIS-0073,CT-0073,,storage,true,
VIS-0074,CT-0074,,storage,true,
VIS-0075,CT-0075,,storage,true,
VIS-0076,CT-0076,,storage,true,
VIS-0077,CT-0077,,storage,true,
VIS-0078,CT-0078,,storage,true,
VIS-0079,CT-0079,,storage,true,
VIS-0080,CT-0080,,storage,true,
VIS-0081,CT-0081,,storage,true,
VIS-0082,CT-0082,,storage,true,
VIS-0083,CT-0083,,storage,true,
VIS-0084,CT-0084,,storage,true,
VIS-0085,CT-0085,,storage,true,
VIS-0086,CT-0086,,storage,true,
VIS-0087,CT-0087,,storage,true,
VIS-0088,CT-0088,,storage,true,
VIS-0089,CT-0089,,storage,true,
VIS-0090,CT-0090,,storage,true,
VIS-0091,CT-0091,,storage,true,
VIS-0092,CT-0092,,storage,true,
VIS-0093,CT-0093,,storage,true,
VIS-0094,CT-0094,,storage,true,
VIS-0095,CT-0095,,storage,true,
VIS-0096,CT-0096,,storage,true,
VIS-0097,CT-0097,,storage,true,
VIS-0098,CT-0098,,storage,true,
VIS-0099,CT-0099,,storage,true,
VIS-0100,CT-0100,,storage,true,
VIS-0101,CT-0101,,storage,true,
VIS-0102,CT-0102,,storage,true,
VIS-0103,CT-0103,,storage,true,
VIS-0104,CT-0104,,storage,true,
VIS-0105,CT-0105,,storage,true,
VIS-0106,CT-0106,,storage,true,
VIS-0107,CT-0107,,storage,true,
VIS-0108,CT-0108,,storage,true,
VIS-0109,CT-0109,,storage,true,
VIS-0110,CT-0110,,storage,true,
VIS-0111,CT-0111,,storage,true,
VIS-0112,CT-0112,,storage,true,
VIS-0113,CT-0113,,storage,true,
VIS-0114,CT-0114,,storage,true,
VIS-0115,CT-0115,,storage,true,
VIS-0116,CT-0116,,storage,true,
VIS-0117,CT-0117,,storage,true,
VIS-0118,CT-0118,,storage,true,
VIS-0119,CT-0119,,storage,true,
VIS-0120,CT-0120,,storage,true,
VIS-0121,CT-0121,NORTH-RAIL,export-rail,true,
VIS-0122,CT-0122,NORTH-RAIL,export-rail,true,
VIS-0123,CT-0123,NORTH-RAIL,export-rail,true,
VIS-0124,CT-0124,NORTH-RAIL,export-rail,true,
VIS-0125,CT-0125,NORTH-RAIL,export-rail,false,Synthetic authority hold
VIS-0126,CT-0126,NORTH-RAIL,export-rail,true,
VIS-0127,CT-0127,EAST-RAIL,export-rail,true,
VIS-0128,CT-0128,EAST-RAIL,export-rail,true,
VIS-0129,CT-0129,EAST-RAIL,export-rail,true,
VIS-0130,CT-0130,ROAD-AM,import-road,true,
VIS-0131,CT-0131,ROAD-AM,import-road,true,
VIS-0132,CT-0132,ROAD-AM,import-road,true,
VIS-0133,CT-0133,ROAD-AM,import,true,
VIS-0134,CT-0134,ROAD-AM,import,true,
VIS-0135,CT-0135,ROAD-AM,import,true,
VIS-0136,CT-0136,ROAD-AM,import,true,
VIS-0137,CT-0137,ROAD-AM,import,true,
VIS-0138,CT-0138,ROAD-AM,import,true,
VIS-0139,CT-0139,AURORA,export-vessel,true,
VIS-0140,CT-0140,AURORA,export-vessel,true,
VIS-0141,CT-0141,AURORA,export-vessel,true,
VIS-0142,CT-0142,MERIDIAN,export-vessel,true,
VIS-0143,CT-0143,MERIDIAN,export-vessel,true,
VIS-0144,CT-0144,MERIDIAN,export-vessel,true,
