id,container_id,source_id,target_id,kind,equipment_id,duration,deadline,created_order,travel_minutes,visit_id
MV-001,CT-0121,A1,RAIL-1,retrieve,YC-1,5,42,0,1,VIS-0121
MV-002,CT-0122,D4,RAIL-1,retrieve,YC-2,5,42,1,1,VIS-0122
MV-003,CT-0123,A3,RAIL-1,retrieve,YC-1,5,42,2,1,VIS-0123
MV-004,CT-0124,A4,RAIL-1,retrieve,YC-1,5,42,3,1,VIS-0124
MV-005,CT-0125,B1,RAIL-1,retrieve,YC-1,5,42,4,1,VIS-0125
MV-006,CT-0126,B2,RAIL-1,retrieve,YC-1,5,42,5,1,VIS-0126
MV-007,CT-0127,B3,RAIL-2,retrieve,YC-1,5,92,6,1,VIS-0127
MV-008,CT-0128,B4,RAIL-2,retrieve,YC-1,5,92,7,1,VIS-0128
MV-009,CT-0129,C1,RAIL-2,retrieve,YC-1,5,92,8,1,VIS-0129
MV-010,CT-0130,C2,TRUCK-OUT,retrieve,YC-1,5,75,9,1,VIS-0130
MV-011,CT-0131,C3,TRUCK-OUT,retrieve,YC-1,5,75,10,1,VIS-0131
MV-012,CT-0132,C4,TRUCK-OUT,retrieve,YC-1,5,75,11,1,VIS-0132
MV-013,CT-0122,A1,D4,rehandle,YC-1,3,42,12,1,VIS-0122
MV-014,CT-0133,VESSEL-1,D1,discharge,QC-1,6,75,13,1,VIS-0133
MV-015,CT-0133,D1,TRUCK-OUT,retrieve,YC-2,5,75,14,1,VIS-0133
MV-016,CT-0134,VESSEL-1,D2,discharge,QC-1,6,75,15,1,VIS-0134
MV-017,CT-0134,D2,TRUCK-OUT,retrieve,YC-2,5,75,16,1,VIS-0134
MV-018,CT-0135,VESSEL-1,D3,discharge,QC-1,6,75,17,1,VIS-0135
MV-019,CT-0135,D3,TRUCK-OUT,retrieve,YC-2,5,75,18,1,VIS-0135
MV-020,CT-0136,VESSEL-1,D4,discharge,QC-1,6,75,19,1,VIS-0136
MV-021,CT-0136,D4,TRUCK-OUT,retrieve,YC-2,5,75,20,1,VIS-0136
MV-022,CT-0137,VESSEL-1,E1,discharge,QC-1,6,75,21,1,VIS-0137
MV-023,CT-0137,E1,TRUCK-OUT,retrieve,YC-2,5,75,22,1,VIS-0137
MV-024,CT-0138,VESSEL-1,E2,discharge,QC-1,6,75,23,1,VIS-0138
MV-025,CT-0138,E2,TRUCK-OUT,retrieve,YC-2,5,75,24,1,VIS-0138
MV-026,CT-0139,GATE-IN,E3,receive,GATE-1,4,120,25,1,VIS-0139
MV-027,CT-0139,E3,VESSEL-1,load,QC-1,7,120,26,1,VIS-0139
MV-028,CT-0140,GATE-IN,E4,receive,GATE-1,4,120,27,1,VIS-0140
MV-029,CT-0140,E4,VESSEL-1,load,QC-1,7,120,28,1,VIS-0140
MV-030,CT-0141,GATE-IN,F1,receive,GATE-1,4,120,29,1,VIS-0141
MV-031,CT-0141,F1,VESSEL-1,load,QC-1,7,120,30,1,VIS-0141
MV-032,CT-0142,GATE-IN,F2,receive,GATE-1,4,120,31,1,VIS-0142
MV-033,CT-0142,F2,VESSEL-2,load,QC-2,7,155,32,1,VIS-0142
MV-034,CT-0143,GATE-IN,F3,receive,GATE-1,4,120,33,1,VIS-0143
MV-035,CT-0143,F3,VESSEL-2,load,QC-2,7,155,34,1,VIS-0143
MV-036,CT-0144,GATE-IN,F4,receive,GATE-1,4,120,35,1,VIS-0144
MV-037,CT-0144,F4,VESSEL-2,load,QC-2,7,155,36,1,VIS-0144
